reviewId,content,score,cleaned_text,sentiment,predicted_sentiment,sentiment_label
521913e4-c7b1-46be-8242-9ced919156a3,buruk,1,buruk,0,0,Negative
4f81924b-e06e-491d-9872-865fc5b6c78b,"Amit-amit ni aplikasi Verifikasi wajah ribet bgt gak lolos terus heran,gak guna. sayang banget padahal pelayanan face to face nya juara tapi developer aplikasi nya ampas kayak gini. CAHAYA MATAHARI MASIH KURANG TERANG KAH ADMIN PINTAR? bukan nya di benahi ni aplikasi malah ngles aja cari2 alasan busuk.",2,amit amit ni aplikasi verifikasi wajah ribet bgt lolos heran sayang layan face to face juara developer aplikasi ampas kayak gin cahaya matahari kurang terang kah admin pintar bukan benah ni aplikasi ngles cari alas busuk,0,0,Negative
29c07bdc-1d0b-455b-8170-5ccc3d766989,"ini apaan sih setiap kali pasti ada gangguan. lagi belanja pake Qris agar lebih mudah tbtb ga bisa. alhasil saya ga jadi belanja. selalu begini, jelek banget sistem nya. saya rasa bintang 1 udah cukup bagus untuk aplikasi ini. *jangan cuma bales ulasan kami, yg kami mau perbaiki sistem nya. bank gede kok sistem nya primitif",1,sih kali ganggu belanja pake qris mudah tbtb alhasil belanja jelek sistem bintang bagus aplikasi jangan bales ulas baik sistem bank gede sistem primitif,0,0,Negative
53d5a360-e0c4-4a40-a6d5-d182294b2a7b,sangat puas,5,puas,1,1,Positive
35e8d31c-7783-4444-beb2-82eb4d4b1a76,the best pokoknya mah,5,the best pokok mah,1,1,Positive
f5b6f0f7-ec3e-4cc3-bcde-d0e1c32d61f1,bagus,5,bagus,1,1,Positive
0d209743-4a02-4f43-8b21-158731dc4781,top,5,top,1,1,Positive
fd3ddc9f-00fe-4828-a4d6-8108e7389457,"saya tidak ada keluar akun sama sekali tapi waktu saya buka lagi tiba"" dah ke log out, pas nyoba login lgi salah masukin password sekali langsung keblokir biasanya juga 3x salah masukin password bru keblokir lah ini bru sekli masukin lngsung keblokir aja",2,tidak akun buka dah log out pas nyoba login lgi salah masukin password langsung blokir salah masukin password bru blokir bru sekli masukin lngsung blokir,0,0,Negative
8837c409-9bd0-4db5-b174-a565a38911cf,"kok kode otp dari BCA blm terkirim,pdahal saya sdah isi pulsa tlong di bantu",4,kode otp bca blm kirim pdahal sdah isi pulsa tlong bantu,1,0,Negative
1516be4d-3a29-4575-a62f-19154a16bc9a,"uang gue ketahan gara"" lu eror mulu",1,uang gue tahan gara lu eror mulu,0,0,Negative
a1c80102-2e6c-4054-98a0-cd0fc422072b,aplikasi gajelas gaada kode negara indonesia trus login gmna ttep dsruh masukin nmor telpon,1,aplikasi gajelas gaada kode negara indonesia trus login gmna ttep dsruh masukin nmor telpon,0,0,Negative
e27bc13f-57aa-485f-a7db-400ffe706170,sat habis di hapus di download lagi malah konfirmadi no hp kode otp nya gak kekirim ke pesan anjir,1,sat habis hapus download konfirmadi no hp kode otp kirim pesan anjir,0,0,Negative
cf77c3c8-8c31-4032-8109-27e30ca43ecb,kode otp lama ngasihnya,3,kode otp ngasihnya,0,0,Negative
